devEUI;internalID;lat;lon;where;types
a81758fffe06bfa3;nonsuchdevice;62.39160;17.30723;where;3303,3302,3301
a81758fffe06bfa3;intern-a81758fffe06bfa3;62.39160;17.30723;where;3303,3302,3301
a81758fffe051d00;intern-a81758fffe051d00;0.0;0.0;air;3303
a81758fffe04d83f;intern-a81758fffe04d83f;0.0;0.0;water;3303
a81758fffe0524f3;intern-a81758fffe0524f3;62.405478430159356;17.317086398702134;air;3303
a81758fffe04d84d;intern-a81758fffe04d84d;0.0;0.0;water;3303
a81758fffe04d843;intern-a81758fffe04d843;62.42270376259509;17.428565025329593;where;3303
a81758fffe04d851;intern-a81758fffe04d851;62.36956091265246;17.319844410529534;where;3303
a81758fffe051d02;intern-a81758fffe051d02;62.405478430159356;17.317086398702134;air;3303
a81758fffe04d856;intern-a81758fffe04d856;62.36956091265246;17.319844410529534;where;3303